model	setting	rep	mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
mimix-0-factors	setting01	rep2	β[22, 1]	β	0.0	0.014027131733129843	0.0	0.0	0.0	0.0	0.17448032479121223
mimix-0-factors	setting01	rep2	β[23, 1]	β	0.0	0.0021303484782114307	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[24, 1]	β	0.0	0.0054613300321946666	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[25, 1]	β	0.0	0.017220432287321393	0.0	0.0	0.0	0.0	0.3079707535294185
mimix-0-factors	setting01	rep2	β[26, 1]	β	0.0	0.0497733980414592	0.0	0.0	0.0	0.0	0.760779822540882
mimix-0-factors	setting01	rep2	β[27, 1]	β	0.0	-0.0005387297949473364	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[28, 1]	β	0.0	0.008680640470093032	0.0	0.0	0.0	0.0	0.04971233748179329
mimix-0-factors	setting01	rep2	β[29, 1]	β	0.0	0.02831635848810417	0.0	0.0	0.0	0.0	0.4481267905280972
mimix-0-factors	setting01	rep2	β[30, 1]	β	0.0	0.02063399573994978	0.0	0.0	0.0	0.0	0.06562916397126362
mimix-0-factors	setting01	rep2	β[31, 1]	β	0.0	0.0042401225874330204	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[32, 1]	β	0.0	0.000991470806394252	0.0	0.0	0.0	0.0	0.0008702671634488521
mimix-0-factors	setting01	rep2	β[33, 1]	β	0.0	0.001207147502762194	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[34, 1]	β	0.0	-0.006204680288251422	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[35, 1]	β	0.0	-0.004057763791871501	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[36, 1]	β	0.0	-0.005155085432184727	-0.1616216986434933	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[37, 1]	β	0.0	-0.026685995190775604	-0.5628505815698751	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[38, 1]	β	0.0	-0.006292893829541337	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[39, 1]	β	0.0	-0.005537023985401608	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[40, 1]	β	0.0	-0.003200050212543445	-0.024388123343917226	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[41, 1]	β	2.7233782283994215	2.3003569634169994	1.4993742926630893	2.1327543432150287	2.336177095432559	2.5250395391533336	2.891800072349153
mimix-0-factors	setting01	rep2	β[42, 1]	β	2.7233782283994215	2.34097486955554	1.648602760514675	2.058941455162904	2.327331267773281	2.5740444299298453	3.2024969787663453
mimix-0-factors	setting01	rep2	β[43, 1]	β	2.7233782283994215	2.4299373699244544	1.7519940672322365	2.196053552899097	2.4219539398939194	2.667088809707444	3.1121293708935114
mimix-0-factors	setting01	rep2	β[44, 1]	β	2.7233782283994215	2.4744482612393965	1.7906314459339294	2.245222495034392	2.4771100468704423	2.688921017837569	3.174625976036006
mimix-0-factors	setting01	rep2	β[45, 1]	β	2.7233782283994215	2.4620701775245775	1.7772573738922492	2.2426450725080516	2.45973033449956	2.687242736208348	3.1816739653808277
mimix-0-factors	setting01	rep2	β[46, 1]	β	0.0	-0.010466622697351833	-0.011994831839821677	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[47, 1]	β	0.0	0.000655687640090459	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[48, 1]	β	0.0	0.001804003837123739	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[49, 1]	β	0.0	0.008290346175822793	0.0	0.0	0.0	0.0	0.022640256392925218
mimix-0-factors	setting01	rep2	β[50, 1]	β	0.0	0.0016964255182037302	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[51, 1]	β	0.0	0.007889019287406375	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[52, 1]	β	0.0	0.08005476440383084	0.0	0.0	0.0	0.0	1.0983422191770835
mimix-0-factors	setting01	rep2	β[53, 1]	β	0.0	0.016869987426577835	0.0	0.0	0.0	0.0	0.39711480851585834
mimix-0-factors	setting01	rep2	β[54, 1]	β	0.0	0.07130576677508921	0.0	0.0	0.0	0.0	0.85989055409961
mimix-0-factors	setting01	rep2	β[55, 1]	β	0.0	0.0586785504961967	0.0	0.0	0.0	0.0	0.8772321687421891
mimix-0-factors	setting01	rep2	β[56, 1]	β	0.0	0.018497561493318295	0.0	0.0	0.0	0.0	0.396921708292935
mimix-0-factors	setting01	rep2	β[57, 1]	β	0.0	0.02905281816322781	0.0	0.0	0.0	0.0	0.47184460203388984
mimix-0-factors	setting01	rep2	β[58, 1]	β	0.0	0.029939499824133537	0.0	0.0	0.0	0.0	0.6092235437146236
mimix-0-factors	setting01	rep2	β[59, 1]	β	0.0	-0.004210480616422491	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[60, 1]	β	0.0	0.010125708593595843	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[61, 1]	β	-1.4293980635421777	-0.6970135427446602	-1.631615081084021	-1.1026578754984122	-0.7917266746358727	0.0	0.0
mimix-0-factors	setting01	rep2	β[62, 1]	β	-1.4293980635421777	-0.9827441543564188	-2.039961660654995	-1.2552131198418317	-1.0121701939317114	-0.7777910241320509	0.0
mimix-0-factors	setting01	rep2	β[63, 1]	β	-1.4293980635421777	-0.31797375567094077	-1.3217151265448883	-0.7217025362237539	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[64, 1]	β	-1.4293980635421777	-0.9677801621568188	-2.732224721327118	-1.2895184124758687	-1.015929866700504	-0.5739593555855949	0.0
mimix-0-factors	setting01	rep2	β[65, 1]	β	-1.4293980635421777	-1.0678710296343266	-1.973413151377325	-1.3981874285640024	-1.1554901316270447	-0.8840311707252879	0.0
mimix-0-factors	setting01	rep2	β[66, 1]	β	0.0	-0.003967704419306236	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[67, 1]	β	0.0	-0.004179453992492816	0.0	0.0	0.0	0.0	0.0
